time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
40,787.8462024097664,20,138.91854213354432,400.0000000000001,0,-692.8203230275509
41,792.2144549932563,20,111.33848076805238,435.7112280120213,0,-670.9364543563394
42,795.6175162946187,20,83.62277061412277,470.22820183397835,0,-647.213595499958
43,798.0512402078593,20,55.80517899530019,503.45631283987,0,-621.7167691655766
44,799.5126616152766,20,27.919597362000864,535.3044850870863,0,-594.5158603819157
45,800.0,20,4.898587196589413e-14,565.6854249492379,0,-565.6854249492382
46,799.5126616152766,20,-27.919597362000765,594.5158603819154,0,-535.3044850870865
47,798.0512402078593,20,-55.80517899530027,621.7167691655765,0,-503.4563128398703
48,795.6175162946187,20,-83.62277061412284,647.2135954999578,0,-470.2282018339787
49,792.2144549932563,20,-111.33848076805228,670.9364543563393,0,-435.7112280120216
50,787.8462024097664,20,-138.91854213354424,692.8203230275507,0,-400.00000000000034
51,782.5180805870446,20,-166.32935265420747,712.8052193506942,0,-363.19239979163757
52,776.2365810207972,20,-193.53751647973422,730.8363661140806,0,-325.3893144606401
53,769.0093567506551,20,-220.50988465359924,746.8643411977612,0,-286.6943596362406
54,760.8452130361229,20,-247.21359549995788,760.8452130361228,0,-247.21359549995813
55,751.7540966287268,20,-273.61611466053495,772.7406610312546,0,-207.05523608201653
56,741.74708365343,20,-299.6852747327297,782.5180805870444,0,-166.3293526542079
57,730.8363661140806,20,-325.3893144606402,790.1506724761101,0,-125.1475720321849
58,719.0352370393335,20,-350.696917431262,795.6175162946187,0,-83.62277061412273
59,706.3580742871414,20,-375.5772502287127,798.9036278036591,0,-41.868764994355494
60,692.820323027551,20,-399.9999999999999,800.0,0,-1.9594348786357651e-13
61,678.4384769251409,20,-423.9354113865638,798.9036278036591,0,41.868764994355104
62,663.2300580440334,20,-447.35432277659737,795.6175162946187,0,83.62277061412235
63,647.2135954999579,20,-470.2282018339784,790.1506724761102,0,125.1475720321845
64,630.4086028853776,20,-492.52918026052663,782.5180805870444,0,166.3293526542075
65,612.8355544951825,20,-514.2300877492315,772.7406610312547,0,207.0552360820162
66,594.5158603819154,20,-535.3044850870866,760.8452130361229,0,247.21359549995773
67,575.4718402709209,20,-555.7266963671979,746.8643411977614,0,286.6943596362403
68,555.7266963671977,20,-575.471840270921,730.8363661140806,0,325.3893144606404
69,535.3044850870867,20,-594.5158603819152,712.8052193506944,0,363.1923997916373
70,514.2300877492315,20,-612.8355544951824,692.8203230275509,0,400.0
71,492.52918026052674,20,-630.4086028853775,670.936454356339,0,435.7112280120218
72,470.2282018339786,20,-647.2135954999578,647.213595499958,0,470.22820183397835
