time,camera_x,camera_y,camera_z,lookat_x,lookat_y,lookat_z
32,449.39702314958345,20,219.18557339453872,52.26423163382649,0,-497.2609476841367
33,456.77272882130046,20,203.3683215379001,78.21723252011533,0,-493.8441702975689
34,463.5919272833937,20,187.30329670795598,103.95584540887972,0,-489.0738003669028
35,469.84631039295414,20,171.0100716628344,129.40952255126015,0,-482.9629131445342
36,475.52825814757676,20,154.50849718747372,154.5084971874736,0,-475.5282581475768
37,480.63084796915945,20,137.81867790849958,179.1839747726502,0,-466.7902132486009
38,485.14786313799823,20,120.96094779983383,203.36832153789987,0,-456.7727288213005
39,489.0738003669028,20,103.95584540887972,226.99524986977332,0,-445.5032620941839
40,492.403876506104,20,86.82408883346521,250.00000000000006,0,-433.0127018922193
41,495.1340343707852,20,69.58655048003273,272.3195175075133,0,-419.33528397271215
42,497.2609476841366,20,52.264231633826725,293.89262614623647,0,-404.5084971874738
43,498.7820251299121,20,34.878236872062615,314.6601955249188,0,-388.5729807284854
44,499.6954135095479,20,17.44974835125054,334.5653031794289,0,-371.57241273869727
45,500.0,20,3.061616997868383e-14,353.55339059327366,0,-353.55339059327383
46,499.6954135095479,20,-17.449748351250477,371.57241273869715,0,-334.56530317942907
47,498.7820251299121,20,-34.878236872062665,388.5729807284853,0,-314.6601955249189
48,497.2609476841366,20,-52.264231633826775,404.50849718747367,0,-293.8926261462367
49,495.1340343707852,20,-69.58655048003267,419.33528397271203,0,-272.31951750751347
50,492.403876506104,20,-86.82408883346515,433.0127018922192,0,-250.00000000000023
51,489.07380036690284,20,-103.95584540887967,445.50326209418387,0,-226.9952498697735
52,485.14786313799823,20,-120.96094779983389,456.77272882130046,0,-203.36832153790007
53,480.63084796915945,20,-137.81867790849952,466.79021324860076,0,-179.18397477265037
54,475.5282581475768,20,-154.50849718747367,475.52825814757676,0,-154.50849718747384
55,469.8463103929542,20,-171.01007166283435,482.9629131445342,0,-129.40952255126035
56,463.5919272833937,20,-187.30329670795604,489.0738003669028,0,-103.95584540887994
57,456.77272882130046,20,-203.36832153790013,493.84417029756884,0,-78.21723252011556
58,449.39702314958345,20,-219.18557339453875,497.2609476841366,0,-52.26423163382671
59,441.47379642946345,20,-234.73578139294546,499.3147673772869,0,-26.167978121472185
60,433.01270189221935,20,-249.99999999999991,500.0,0,-1.2246467991473532e-13
61,424.024048078213,20,-264.9596321166024,499.3147673772869,0,26.167978121471943
62,414.51878627752086,20,-279.59645173537336,497.2609476841367,0,52.26423163382646
63,404.5084971874737,20,-293.8926261462365,493.8441702975689,0,78.2172325201153
64,394.005376803361,20,-307.83073766282916,489.0738003669028,0,103.95584540887968
65,383.022221559489,20,-321.39380484326966,482.9629131445342,0,129.40952255126012
66,371.5724127386971,20,-334.5653031794291,475.5282581475768,0,154.50849718747358
